,producto,precio,cantidad,medida
0,DIA DULCE NOEL surtido de mazapan caja 300 gr ,2.09,0.3,kg
1,DIA DULCE NOEL seleccion de especialidades bandeja 700 gr ,3.59,0.7,kg
2,DIA AL PUNTO canelones de marisco bandeja 560 gr,1.99,0.561,kg
3,DIA EL CENCERRO queso curado cuna 300 gr,1.99,0.3,kg
4,DIA EL CENCERRO queso curado cortado cuna 250 gr,2.21,0.25,kg
5,LA LECHERA leche condensada lata 370 gr,1.44,0.37,kg
6,VOLL-DAMM cerveza doble malta lata 33 cl,0.72,0.33,L
7,VOLL-DAMM cerveza doble malta pack 6 botellas 25 cl ,3.95,1.502,L
8,BERONIA vino tinto crianza DO Rioja botella 75 cl,7.02,0.75,L
9,BLUME vino blanco DO Rueda botella 75 cl,3.59,0.749,L
10,VIÃÂA ALBALI vino tinto gran reserva DO Valdepenas botella 75 cl,3.99,0.75,L
11,BLUME vino blanco joven DO Rueda botella 75 cl,2.99,0.749,L
12,CASTILLO DE ALBAI vino tinto DO Rioja botella 75 cl,2.69,0.749,L
13,BOMBAY Original ginebra london dry botella 70 cl,11.99,0.7,L
14,FEDERICO PATERNINA vino tinto 12 meses banda azul DO Rioja botella 75 cl,4.39,0.75,L
15,ALTOS DE TAMARON vino tinto reserva DO Ribera de Duero botella 75 cl,7.99,0.75,L
16,PEÃÂASCAL vino rosado de aguja botella 75 cl ,2.9,0.749,L
17,CARDHU whisky 12 anos botella 70 cl,23.49,0.7,L
18,MAYOR DE CASTILLA vino tinto botella 75 cl ,2.13,0.75,L
19,BEEFEATER bebida espirituosa light 20ÃÂº botella 70 cl,12.0,0.7,L
20,LOS MOLINOS vino blanco verdejo DO Valdepenas botella 75 cl,1.69,0.751,L
21,LOS MOLINOS vino tinto DO Valdepenas botella 75 cl,1.69,0.751,L
22,DIA AL PUNTO croquetas de marisco bolsa 350 gr,1.29,0.35,kg
23,ELVIVE crema suavizante color vive cabello tenido frasco 250 ml,2.39,0.25,L
24,ELVIVE mascarilla capilar total repair 5 tarro 300 ml,3.83,0.3,L
25,ORIGINAL REMEDIES mascarilla tesoros de miel tarro 300 ml,3.19,0.3,L
26,ORIGINAL REMEDIES aceite oliva en crema sin aclarado cabello reseco 200 ml,2.15,0.2,L
27,ORIGINAL REMEDIES mascarilla delicatesse todo tipo de cabello tarro 300 ml,3.19,0.3,L
28,FRUCTIS mascarilla hidra rizos cabello rizo u ondulado tarro 300 ml,3.75,0.3,L
29,FRUCTIS mascarilla adios danos repara y fortifica tarro 300 ml,3.75,0.3,L
30,ORIGINAL REMEDIES acondicionador tesoros de miel bote 250 ml,2.95,0.25,L
